Address,SymbolName
80006b70,__register_global_object
80006b88,__destroy_global_chain
800079fc,__init_cpp_exceptions
80007a38,__fini_cpp_exceptions
8000db3c,strcmp
80015a14,InitMetroTRK
80015aac,InitMetroTRK_BBA
80015d28,__TRKreset
800190a0,TRK_InterruptHandler
8001a2c0,__OSFPRInit
8001ad80,OSInit
8001b540,__OSSetExceptionHandler
8001d990,OSReport
8001da20,OSSetErrorHandler
80021820,OSDisableInterrupts
80021820,__RAS_OSDisableInterrupts_begin
8002182c,__RAS_OSDisableInterrupts_end
80021860,OSRestoreInterrupts
80023820,OSResetSystem
80028530,__init_user
800285a0,exit
8002c840,VIInit
80031fe0,GXInit
80038940,GXSetDither
8003a210,DVDInit
800429a0,AIInit
80042e10,AXInit
8004b430,SCInit
80075730,size__Q23gfx19GXFifoMemoryManagerCFv
800dc470,SetTMemLayout__Q34nw4r3g3d4tmemFQ44nw4r3g3d4tmem10TMemLayout
800f16b0,G3dInit__Q24nw4r3g3dFb
80175b68,__dt__Q33hel6common11NonCopyableFv
80176268,Run__Q23app11ApplicationFRQ23app6Systembbb
80177810,__dt__Q26freeze13FreezeManagerFv
8017786c,__dt__Q23gfx10XFBManagerFv
8018a900,__ct__Q26freeze13FreezeManagerFPUcPUc
80196168,__dt__Q23gfx19GXFifoMemoryManagerFv
801961e0,data__Q23gfx19GXFifoMemoryManagerFv
801962dc,__ct__Q23gfx13RenderSettingFv
80196404,__dt__Q23gfx13RenderSettingFv
801979ac,__ct__Q23gfx9VISettingFv
80197a04,__dt__Q23gfx9VISettingFv
80197b90,set__Q23gfx9VISettingFUl
80197d50,__ct__Q23gfx10XFBManagerFRCQ23gfx9VISetting
80197e8c,target1__Q23gfx10XFBManagerFv
80197ec0,target2__Q23gfx10XFBManagerFv
801a38b0,__ct__Q23hid14LibInitializerFv
801a39f8,__dt__Q23hid14LibInitializerFv
801bf2bc,__ct__Q23mem6MemoryFv
801bf520,__dt__Q23mem6MemoryFv
801bf5e8,mem1FixHeap__Q23mem6MemoryFv
801bf714,__dl__FPv
80402ee8,__ct__Q23snd12SoundManagerFv
80403150,__dt__Q23snd12SoundManagerFv
80405a9c,__ct__Q24util5MutexFv
8055c878,Debug_BBA
